episode,reward,steps,success,reached_pickup,completed_delivery,collisions,penalty_zone_visits
211,-7623.0,340,0,0,0,73,0
212,-5457.0,340,0,0,0,51,0
213,-5553.0,340,0,0,0,52,0
214,-5060.0,340,0,0,0,47,0
215,-7238.0,340,0,0,0,69,0
216,-5952.0,340,0,0,0,56,0
217,-6154.0,340,0,0,0,58,0
218,-7384.0,340,0,0,0,70,32
219,-6905.0,340,0,0,0,65,42
220,-6861.0,340,0,0,0,65,21
221,-6536.0,340,0,0,0,62,0
222,-7376.0,340,0,0,0,70,25
223,-6778.0,340,0,0,0,64,25
224,-5849.0,340,0,0,0,55,0
225,-9638.0,340,0,0,0,93,15
226,-7243.0,340,0,0,0,69,0
227,-4763.0,340,0,0,0,44,0
228,-5861.0,340,0,0,0,55,0
229,-6742.0,340,0,0,0,64,7
230,-5955.0,340,0,0,0,56,0
231,-7814.0,340,0,0,0,75,0
232,-9157.0,340,0,0,0,88,9
233,-5264.0,340,0,0,0,49,0
234,-5552.0,340,0,0,0,52,0
235,-6248.0,340,0,0,0,59,0
236,-6541.0,340,0,0,0,62,0
237,-7329.0,340,0,0,0,70,2
238,-9129.0,340,0,0,0,88,0
239,-6485.0,340,0,0,0,61,22
240,-7358.0,340,0,0,0,69,68
241,-5161.0,340,0,0,0,48,2
242,-7806.0,340,0,0,0,74,36
243,-7171.0,340,0,0,0,68,13
244,-5849.0,340,0,0,0,55,0
245,-4671.0,340,0,0,0,43,0
246,-6761.0,340,0,0,0,64,13
247,-5150.0,340,0,0,0,48,0
248,-6248.0,340,0,0,0,59,0
249,-7289.0,340,0,0,0,69,27
250,-5765.0,340,0,0,0,54,0
251,-7334.0,340,0,0,0,70,0
252,-5670.0,340,0,0,0,53,0
253,-5661.0,340,0,0,0,53,0
254,-6543.0,340,0,0,0,62,0
255,-6816.0,340,0,0,0,64,37
256,-4287.0,340,0,0,0,39,6
257,-7233.0,340,0,0,0,69,0
258,-6250.0,340,0,0,0,59,0
259,-6993.0,340,0,0,0,66,35
260,-6241.0,340,0,0,0,59,0
261,-5547.0,340,0,0,0,52,0
262,-6258.0,340,0,0,0,59,0
263,-6952.0,340,0,0,0,66,2
264,-6948.0,340,0,0,0,66,4
265,-5950.0,340,0,0,0,56,0
266,-5464.0,340,0,0,0,51,0
267,-5963.0,340,0,0,0,56,9
268,-7987.0,340,0,1,0,76,18
269,-7134.0,340,0,0,0,68,0
270,-7126.0,340,0,0,0,68,0
271,-7225.0,340,0,0,0,68,48
272,-8427.0,340,0,0,0,81,0
273,-6165.0,340,0,0,0,58,3
274,-5265.0,340,0,0,0,49,0
275,-5761.0,340,0,0,0,54,0
276,-6580.0,340,0,0,0,62,8
277,-6048.0,340,0,0,0,57,0
278,-7133.0,340,0,0,0,68,0
279,-5662.0,340,0,0,0,53,0
280,-5965.0,340,0,0,0,56,0
281,-8083.0,340,0,0,0,77,35
282,-5361.0,340,0,0,0,50,0
283,-5366.0,340,0,0,0,50,1
284,-4566.0,340,0,0,0,42,0
285,-5644.0,340,0,0,0,53,9
286,-8784.0,340,0,0,0,83,102
287,-5556.0,340,0,0,0,52,0
288,-5459.0,340,0,0,0,51,0
289,-6047.0,340,0,0,0,57,0
290,-6870.0,340,0,0,0,65,18
291,-6648.0,340,0,0,0,63,0
292,-7660.0,340,0,0,0,73,9
293,-6455.0,340,0,0,0,61,0
