episode,reward,steps,success,reached_pickup,completed_delivery,collisions,penalty_zone_visits
458,-3567.0,220,0,0,0,33,26
459,-4129.0,220,0,0,0,39,0
460,-3903.0,220,0,0,0,36,9
461,-4420.0,220,0,0,0,42,5
462,-2752.0,220,0,0,0,25,0
463,-3729.0,220,0,0,0,35,3
464,-4039.0,220,0,0,0,38,13
465,-3146.0,220,0,0,0,29,0
466,-5013.0,220,0,0,0,48,1
467,-3535.0,220,0,0,0,33,0
468,-2568.0,220,0,0,0,23,2
469,-4210.0,220,0,0,0,40,0
470,-3658.0,220,0,0,0,34,4
471,-3536.0,220,0,0,0,33,0
472,-3925.0,220,0,0,0,37,1
473,-3426.0,220,0,0,0,32,1
474,-5273.0,220,0,0,0,50,7
475,-3711.0,220,0,1,0,35,6
476,-2630.0,220,0,0,0,24,0
477,-4464.0,220,0,0,0,42,24
478,-2042.0,220,0,0,0,18,0
479,-3582.0,220,0,0,0,33,5
480,-4001.0,220,0,0,0,37,20
481,-3447.0,220,0,0,0,32,2
482,-3040.0,220,0,0,0,28,0
483,-3789.0,220,0,0,0,35,28
484,-3695.0,220,0,1,0,35,0
485,-3809.0,220,0,0,0,36,0
486,-3726.0,220,0,0,0,35,0
487,-3439.0,220,0,0,0,32,1
488,-3262.0,220,0,0,0,30,15
489,-4044.0,220,0,0,0,38,15
490,-3044.0,220,0,0,0,28,0
491,-2858.0,220,0,0,0,26,6
492,-2955.0,220,0,0,0,27,3
493,-3456.0,220,0,0,0,32,2
494,-3659.0,220,0,0,0,34,9
495,-4043.0,220,0,0,0,38,8
496,-4029.0,220,0,0,0,38,2
497,-3633.0,220,0,0,0,34,4
498,-4046.0,220,0,0,0,38,2
499,-3242.0,220,0,0,0,30,7
500,-3378.0,220,0,0,0,31,2
501,-3986.0,220,0,0,0,37,7
502,-3168.0,220,0,0,0,29,16
503,-3418.0,220,0,1,0,32,0
504,-2700.0,203,1,1,1,26,9
505,-3604.0,220,0,1,0,34,3
506,-2872.0,220,0,0,0,26,21
507,-3694.0,220,0,1,0,35,0
508,-3625.0,220,0,0,0,34,0
509,-3696.0,220,0,1,0,35,1
510,-3552.0,220,0,0,0,33,2
511,-4121.0,220,0,0,0,39,0
512,-3549.0,220,0,0,0,33,4
513,-3632.0,220,0,0,0,34,3
514,-3618.0,220,0,0,0,34,1
515,-3758.0,220,0,0,0,35,16
516,-3391.0,206,1,1,1,33,1
517,-3350.0,220,0,0,0,31,6
518,-3425.0,220,0,0,0,32,0
519,-3535.0,220,0,0,0,33,4
520,-3531.0,220,0,0,0,33,2
521,-3407.0,220,0,1,0,32,4
522,-2807.0,220,0,0,0,25,9
523,-2152.0,220,0,0,0,19,0
524,-4104.0,220,0,1,0,39,2
525,-2702.0,220,0,1,0,25,1
526,-3441.0,220,0,0,0,32,1
527,-3440.0,220,0,0,0,32,6
528,-3832.0,220,0,1,0,36,3
529,-3100.0,220,0,0,0,28,9
530,-4925.0,220,0,0,0,47,1
531,-4151.0,220,0,0,0,39,18
532,-3104.0,220,0,1,0,29,1
533,-4122.0,220,0,0,0,39,0
534,-3683.0,204,1,1,1,36,1
535,-3250.0,220,0,0,0,30,7
536,-2739.0,220,0,0,0,25,0
537,-3035.0,220,0,0,0,28,0
538,-3262.0,206,1,1,1,31,16
539,-3940.0,220,0,0,0,37,9
540,-2336.0,220,0,0,0,21,0
541,-3353.0,220,0,0,0,31,9
542,-4037.0,220,0,0,0,38,9
543,-4052.0,220,0,0,0,38,4
544,-3821.0,220,0,0,0,36,2
545,-1951.0,220,0,0,0,17,0
546,-2737.0,220,0,0,0,25,0
547,-3124.0,220,0,0,0,29,0
548,-3141.0,220,0,0,0,29,0
549,-2866.0,220,0,0,0,26,2
550,-3854.0,220,0,0,0,36,7
551,-3338.0,220,0,0,0,31,1
552,-2585.0,220,0,0,0,23,8
553,-3133.0,220,0,0,0,29,0
554,-3458.0,220,0,0,0,32,10
555,-2959.0,220,0,0,0,27,15
556,-3444.0,220,0,0,0,32,9
557,-3137.0,220,0,0,0,29,3
558,-3035.0,220,0,0,0,28,1
559,-4580.0,220,0,1,0,44,0
560,-3469.0,220,0,0,0,32,14
561,-3350.0,220,0,0,0,31,9
562,-5018.0,220,0,0,0,48,4
563,-3918.0,220,0,0,0,37,0
564,-4823.0,220,0,0,0,46,2
565,-3156.0,220,0,0,0,29,15
566,-2671.0,220,0,0,0,24,18
567,-4214.0,220,0,1,0,40,3
568,-4152.0,220,0,0,0,39,4
569,-2775.0,220,0,0,0,25,8
570,-2969.0,220,0,0,0,27,3
571,-2763.0,220,0,0,0,25,2
572,-3621.0,220,0,0,0,34,0
573,-4025.0,220,0,0,0,38,1
574,-3739.0,220,0,0,0,35,8
575,-3347.0,220,0,0,0,31,7
576,-3935.0,220,0,0,0,37,11
577,-3321.0,220,0,0,0,31,0
578,-4160.0,220,0,0,0,39,14
579,-4148.0,220,0,0,0,39,1
580,-3892.0,220,0,1,0,37,1
581,-3348.0,220,0,0,0,31,8
582,-3943.0,220,0,0,0,37,4
583,-3667.0,220,0,0,0,34,13
584,-3950.0,220,0,0,0,37,4
585,-3745.0,220,0,0,0,35,15
586,-3528.0,220,0,0,0,33,0
587,-3336.0,220,0,0,0,31,0
588,-4133.0,220,0,0,0,39,2
589,-3629.0,220,0,0,0,34,0
590,-2827.0,220,0,0,0,26,0
591,-2927.0,220,0,0,0,27,0
592,-3727.0,220,0,0,0,35,0
593,-4143.0,220,0,0,0,39,2
594,-3095.0,220,0,0,0,28,20
595,-3135.0,220,0,0,0,29,0
596,-3876.0,220,0,0,0,36,25
597,-3628.0,220,0,0,0,34,0
598,-2767.0,220,0,0,0,25,0
599,-3759.0,220,0,0,0,35,2
600,-3169.0,220,0,0,0,29,4
601,-2369.0,220,0,0,0,21,5
602,-3152.0,220,0,0,0,29,12
603,-3535.0,220,0,0,0,33,0
604,-3622.0,220,0,0,0,33,11
605,-3345.0,220,0,0,0,31,4
606,-3569.0,220,0,0,0,33,1
607,-3449.0,220,0,0,0,32,13
608,-3583.0,220,0,0,0,33,6
609,-3816.0,220,0,0,0,36,0
610,-4025.0,220,0,0,0,38,0
611,-3334.0,220,0,0,0,31,0
612,-4250.0,220,0,0,0,40,5
613,-3774.0,220,0,0,0,35,24
614,-4112.0,220,0,0,0,38,5
615,-2638.0,220,0,0,0,24,2
616,-3831.0,220,0,0,0,36,0
617,-2646.0,220,0,1,0,24,2
618,-4833.0,220,0,1,0,46,22
619,-3202.0,220,0,0,0,29,7
620,-2928.0,220,0,0,0,27,0
621,-2840.0,220,0,0,0,26,6
622,-4526.0,220,0,0,0,43,1
623,-4226.0,220,0,0,0,40,2
624,-4701.0,220,0,0,0,45,0
625,-2457.0,220,0,0,0,22,7
626,-4237.0,220,0,0,0,39,13
627,-2937.0,220,0,0,0,27,1
628,-2476.0,220,0,0,0,22,3
629,-3634.0,220,0,0,0,34,4
630,-4361.0,220,0,0,0,41,5
631,-3543.0,220,0,1,0,33,16
632,-3352.0,220,0,0,0,31,15
633,-4533.0,220,0,0,0,43,11
634,-5247.0,220,0,0,0,50,5
635,-2603.0,220,0,1,0,24,3
636,-3242.0,220,0,0,0,30,6
637,-3034.0,220,0,0,0,28,1
638,-2973.0,220,0,0,0,27,4
639,-3449.0,220,0,0,0,32,2
640,-3839.0,220,0,0,0,36,7
641,-3931.0,220,0,0,0,37,3
642,-4478.0,220,0,0,0,42,21
643,-3498.0,220,0,1,0,33,1
644,-3273.0,220,0,0,0,30,10
645,-2957.0,220,0,0,0,27,15
646,-4163.0,220,0,0,0,39,7
647,-2648.0,220,0,0,0,24,6
648,-3671.0,220,0,0,0,34,1
649,-2441.0,220,0,0,0,22,0
650,-3235.0,220,0,0,0,30,0
651,-3614.0,220,0,1,0,34,0
652,-3806.0,220,0,1,0,36,0
653,-3824.0,220,0,0,0,36,0
654,-3596.0,220,0,0,0,33,7
655,-2266.0,220,0,0,0,20,9
656,-3929.0,220,0,0,0,37,1
657,-4118.0,220,0,0,0,39,0
658,-3230.0,220,0,0,0,30,0
659,-3256.0,220,0,0,0,30,3
660,-2979.0,220,0,0,0,27,16
661,-4311.0,220,0,1,0,41,5
662,-4119.0,220,0,0,0,39,0
663,-3750.0,218,1,1,1,36,15
664,-3338.0,220,0,0,0,31,1
665,-3931.0,220,0,0,0,37,5
666,-3501.0,220,0,0,0,32,8
667,-3144.0,220,0,0,0,29,1
668,-3527.0,220,0,0,0,33,0
669,-2703.0,220,0,1,0,25,0
670,-2910.0,220,0,1,0,27,4
671,-3655.0,220,0,0,0,34,2
672,-4759.0,220,0,0,0,45,26
673,-3735.0,220,0,0,0,35,0
674,-2964.0,220,0,0,0,27,8
675,-3339.0,220,0,1,0,31,6
676,-2549.0,220,0,0,0,23,1
677,-3730.0,220,0,0,0,35,2
678,-3535.0,220,0,0,0,33,0
679,-3535.0,220,0,0,0,33,2
680,-4329.0,220,0,0,0,41,9
681,-2945.0,220,0,1,0,27,22
682,-2926.0,220,0,0,0,27,0
683,-3919.0,220,0,0,0,37,0
684,-3205.0,220,0,0,0,29,8
685,-4035.0,220,0,0,0,38,1
686,-3014.0,220,0,1,0,28,6
687,-3439.0,220,0,0,0,32,1
688,-2634.0,220,0,0,0,24,0
689,-3726.0,220,0,1,0,35,15
690,-2683.0,220,0,0,0,24,10
691,-4136.0,220,0,0,0,39,4
692,-2883.0,220,0,0,0,26,1
693,-2369.0,220,0,0,0,21,12
694,-2214.0,220,0,1,0,20,2
