episode,reward,steps,success,reached_pickup,completed_delivery,collisions,penalty_zone_visits
330,-8809.0,320,0,0,0,85,4
331,-6710.0,320,0,0,0,64,3
332,-6422.0,320,0,0,0,61,0
333,-6451.0,320,0,0,0,61,19
334,-6534.0,320,0,0,0,62,8
335,-6027.0,320,0,0,0,57,0
336,-6911.0,320,0,0,0,66,0
337,-6129.0,320,0,0,0,58,1
338,-5840.0,320,0,0,0,55,8
339,-6026.0,320,0,0,0,57,0
340,-7648.0,320,0,0,0,73,18
341,-8413.0,320,0,0,0,81,5
342,-7026.0,320,0,0,0,67,6
343,-6328.0,320,0,0,0,60,0
344,-7314.0,320,0,0,0,70,0
345,-5929.0,320,0,0,0,56,2
346,-5036.0,320,0,0,0,47,3
347,-6720.0,320,0,0,0,64,0
348,-6431.0,320,0,0,0,61,0
349,-6807.0,320,0,0,0,65,1
350,-6229.0,320,0,0,0,59,3
351,-5880.0,320,0,0,0,55,34
352,-5554.0,320,0,0,0,52,14
353,-7219.0,320,0,0,0,69,6
354,-5718.0,320,0,0,0,54,0
355,-6326.0,320,0,0,0,60,0
356,-6224.0,320,0,0,0,59,0
357,-6627.0,320,0,0,0,63,0
358,-5138.0,320,0,0,0,48,0
359,-6327.0,320,0,0,0,60,3
360,-7708.0,320,0,0,0,74,3
361,-5738.0,320,0,0,0,54,9
362,-6239.0,320,0,0,0,59,3
363,-5832.0,320,0,0,0,55,7
364,-5841.0,320,0,0,0,55,5
365,-6930.0,320,0,0,0,66,7
366,-8421.0,320,0,0,0,81,3
367,-6150.0,320,0,0,0,58,18
368,-5928.0,320,0,0,0,56,2
369,-5670.0,320,0,0,0,53,0
370,-5922.0,320,0,0,0,56,0
371,-5449.0,320,0,0,0,51,2
372,-7126.0,320,0,0,0,68,9
373,-6846.0,320,0,0,0,65,22
374,-6223.0,320,0,0,0,59,0
375,-5419.0,320,0,0,0,51,0
376,-5239.0,320,0,0,0,49,9
377,-4031.0,320,0,0,0,37,1
378,-6617.0,320,0,0,0,63,2
379,-4456.0,320,0,0,0,41,7
380,-5446.0,320,0,0,0,51,2
381,-6127.0,320,0,0,0,58,4
382,-5035.0,320,0,0,0,47,6
383,-6250.0,320,0,0,0,59,10
384,-7329.0,320,0,0,0,70,8
385,-6816.0,320,0,0,0,65,0
386,-7997.0,320,0,0,0,77,1
387,-7108.0,320,0,0,0,68,0
388,-7115.0,320,0,0,0,68,3
389,-8312.0,320,0,0,0,80,9
390,-5248.0,320,0,0,0,49,4
391,-7508.0,320,0,0,0,72,0
392,-6243.0,320,0,0,0,59,3
393,-7109.0,320,0,0,0,68,0
394,-5339.0,320,0,0,0,50,5
395,-7628.0,320,0,0,0,73,16
396,-8788.0,320,0,0,0,85,5
397,-7112.0,320,0,0,0,68,0
398,-7047.0,320,0,0,0,67,13
399,-7021.0,320,0,0,0,67,0
400,-7917.0,320,0,0,0,76,7
401,-7742.0,320,0,0,0,74,19
402,-6542.0,320,0,0,0,62,3
403,-6950.0,320,0,0,0,66,12
404,-7287.0,320,0,0,0,69,12
405,-6227.0,320,0,0,0,59,5
406,-6057.0,320,0,0,0,57,15
407,-6512.0,320,0,0,0,62,0
408,-7506.0,320,0,1,0,72,13
409,-4951.0,320,0,0,0,45,9
410,-5633.0,320,0,0,0,53,0
411,-5260.0,320,0,0,0,49,4
412,-6035.0,320,0,0,0,57,7
413,-4742.0,320,0,0,0,44,0
414,-6818.0,320,0,0,0,65,3
415,-6428.0,320,0,0,0,61,0
416,-7424.0,320,0,0,0,71,7
417,-5235.0,320,0,0,0,49,0
418,-6162.0,320,0,0,0,58,20
419,-7017.0,320,0,0,0,67,1
420,-5627.0,320,0,0,0,53,3
421,-6313.0,320,0,0,0,60,2
422,-5250.0,320,0,0,0,49,7
423,-6345.0,320,0,0,0,60,17
424,-6036.0,320,0,0,0,57,0
425,-5155.0,320,0,0,0,48,9
426,-4343.0,320,0,0,0,40,3
427,-7735.0,320,0,0,0,74,14
428,-6343.0,320,0,0,0,60,20
429,-6437.0,320,0,0,0,61,8
430,-6232.0,320,0,0,0,59,1
431,-6025.0,320,0,0,0,57,3
432,-6461.0,320,0,0,0,61,7
433,-7505.0,320,0,0,0,72,0
434,-7620.0,320,0,0,0,73,5
435,-5825.0,320,0,0,0,55,0
436,-6831.0,320,0,0,0,65,10
437,-6426.0,320,0,0,0,61,8
438,-6319.0,320,0,0,0,60,3
439,-4860.0,320,0,0,0,45,10
440,-7427.0,320,0,0,0,71,0
441,-5568.0,320,0,0,0,52,26
442,-5635.0,320,0,0,0,53,2
443,-6222.0,320,0,0,0,59,0
444,-6218.0,320,0,0,0,59,0
445,-4722.0,320,0,1,0,44,5
446,-5825.0,320,0,0,0,55,2
447,-5832.0,320,0,0,0,55,1
448,-6118.0,320,0,0,0,58,1
449,-4838.0,320,0,0,0,45,0
450,-7711.0,320,0,0,0,74,0
451,-5927.0,320,0,0,0,56,0
452,-7013.0,320,0,0,0,67,2
453,-5466.0,320,0,1,0,51,8
454,-6925.0,320,0,0,0,66,0
455,-6713.0,320,0,0,0,64,0
456,-6213.0,320,0,0,0,59,0
457,-8214.0,320,0,0,0,79,8
458,-5430.0,320,0,0,0,51,0
459,-5161.0,320,0,0,0,48,11
460,-5440.0,320,0,0,0,51,0
461,-6728.0,320,0,0,0,64,6
462,-6524.0,320,0,0,0,62,4
463,-6343.0,320,0,0,0,60,13
464,-7237.0,320,0,0,0,69,15
465,-5158.0,320,0,0,0,48,6
466,-5240.0,320,0,0,0,49,1
467,-6424.0,320,0,0,0,61,1
468,-8197.0,320,0,0,0,79,7
469,-5049.0,320,0,0,0,47,5
470,-8110.0,320,0,0,0,78,0
471,-5229.0,320,0,0,0,49,0
472,-6019.0,320,0,0,0,57,0
473,-7328.0,320,0,0,0,70,7
474,-7830.0,320,0,0,0,75,8
475,-5775.0,320,0,0,0,54,22
476,-7127.0,320,0,0,0,68,13
477,-6123.0,320,0,0,0,58,0
478,-5918.0,320,0,0,0,56,0
479,-5610.0,320,0,1,0,53,7
480,-7637.0,320,0,0,0,73,13
481,-6126.0,320,0,0,0,58,4
482,-6225.0,320,0,0,0,59,0
483,-6123.0,320,0,0,0,58,0
484,-7624.0,320,0,0,0,73,11
485,-7907.0,320,0,0,0,76,1
486,-5323.0,320,0,0,0,50,0
487,-6649.0,320,0,0,0,63,6
488,-6815.0,320,0,0,0,65,1
489,-6031.0,320,0,0,0,57,0
490,-5131.0,320,0,0,0,48,0
491,-7517.0,320,0,0,0,72,10
492,-7201.0,320,0,0,0,69,0
493,-5922.0,320,0,0,0,56,0
494,-5533.0,320,0,0,0,52,0
495,-6620.0,320,0,0,0,63,3
496,-4951.0,320,0,0,0,46,0
497,-7018.0,320,0,0,0,67,3
498,-6021.0,320,0,0,0,57,0
499,-7017.0,320,0,0,0,67,0
500,-8326.0,320,0,0,0,80,8
501,-6194.0,320,0,1,0,59,3
502,-9505.0,320,0,0,0,92,8
503,-6046.0,320,0,0,0,57,6
504,-6837.0,320,0,0,0,65,11
505,-6530.0,320,0,0,0,62,3
506,-6748.0,320,0,0,0,64,14
507,-6239.0,320,0,0,0,59,7
508,-6510.0,320,0,0,0,62,0
509,-5175.0,320,0,0,0,48,19
510,-6231.0,320,0,0,0,59,0
511,-6044.0,320,0,0,0,57,10
512,-5944.0,320,0,0,0,56,9
513,-5958.0,320,0,0,0,56,12
514,-6422.0,320,0,0,0,61,2
515,-7519.0,320,0,0,0,72,1
516,-7040.0,320,0,0,0,67,15
517,-6906.0,320,0,0,0,66,0
518,-6716.0,320,0,0,0,64,0
519,-6236.0,320,0,0,0,59,3
520,-7121.0,320,0,0,0,68,3
521,-6134.0,320,0,0,0,58,8
522,-6138.0,320,0,0,0,58,2
523,-6227.0,320,0,0,0,59,0
524,-7021.0,320,0,0,0,67,3
525,-5822.0,320,0,0,0,55,0
526,-5222.0,320,0,0,0,49,0
527,-4863.0,320,0,0,0,45,5
528,-4153.0,320,0,0,0,38,2
529,-5524.0,320,0,0,0,52,0
530,-6542.0,320,0,0,0,62,9
531,-5338.0,320,0,0,0,50,6
532,-6116.0,320,0,0,0,58,0
